id,Attraction,Rating,NumReviews,Address,Duration,Score,Coordinates,ReviewsSummary,0,1,2,3,4,5,6,Country,About,Categories
14,Little India,4,3237,"Serangoon Road, Singapore, Singapore",150,12948,"(1.3162244, 103.8589253)","Must visit while in Singapore even for indians. Very much Indian place, with lots of people and restaurants, temples. Many Indian shops and restaurants. Anyone in Singapore should visit Little India. This is place is for Indians.","(0, 0)","(0, 0)","(630, 750)","(0, 0)","(630, 750)","(0, 0)","(630, 750)",Singapore,"An experience for all five senses. Start at the Tekka Centre, a traditional wet market and food court where fresh meat, seafood, vegetables, fruits and dry goods are sold. Cruise down Serangoon Road to find more groceries, restaurants, teahouses, tailors and Mustafa Centre, a massive department store selling anything and everything. Visit during Deepavali, the Hindu festival of light, held in October or November.","Neighbourhoods, Other, Sights & Landmarks"
15,Clarke Quay,4.5,2629,"3 River Valley Road Clarke Quay, Singapore 179019, Singapore",90,11830.5,"(1.2906024, 103.8464742)","Lots of great places to eat with also choices to watch live music, shopping, boat rides down the river or simply walk around and take in the atmosphere. There are a lot of places to have a drink and eat, this is a must when visiting Singapore. This is one of the most happening places in town..with so many cafes restaurants bars round the Singapore river.. One can definitely enjoy the Evening over here.. You definitely can not miss this place while your Singapore trip.. Lots n lots of options for food n drinks.. Music night life entertainment.. Beautiful Clarke.. good place for out dating..good for night life..ferry ride is also good..most visit place if u r visiting singapore first time..there is also many night clubs for dance n all too. Clarke Quay is another one of the must see places in Singapore. Many bars and restaurants along the river.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
16,Maxwell Food Centre,4,2643,"1 Kadayanallur St, Singapore 069184, Singapore",90,10572,"(1.2803765, 103.8447578)","Many stalls with really good food. Well worth the visit to see where the Singapore local will go for a cheap meal. Food is as good as it can be for hawker centre. On the whole, it is a good place to visit. It's a well known food centre for tasty and huge variety of local Hawker food in Singapore and it's very famous for Tian Tian Hainanese Chicken Rice which most people say that it's the fragrant and tasty Rice that makes them to come back for more really it's awesome one must visit this place during their visit to Singapore.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Flea & Street Markets, Points of Interest & Landmarks, Sights & Landmarks, Shopping"
17,The Helix Bridge,4.5,2162,"Linking between Marina Bay and Marina Centre, Singapore 038981, Singapore",90,9729,"(1.283949, 103.858846)","It is a nice walk across as you get some really good views across the bay, and you can get some really good photos. The Helix Bridge is a structure with a shape of DNA helix, hence the helix bridge. Great views. View around here is good you will see the Marina Bay view. During the night, the lights comes on from the bridge.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Linking Marina Bay to Marina Centre, the Helix Bridge, is set to become Singapore’s next landmark. Located beside the Benjamin Sheares Bridge, alongside the vehicular Bayfront Bridge, it was officially opened on 24 April 2010 and is the world’s first curved bridge.","Bridges, Historic Walking Areas, Sights & Landmarks"
19,National Museum of Singapore,4.5,2039,"93 Stamford Road, Singapore 178897, Singapore",240,9175.5,"(1.2967773, 103.8486632)","Wonderful building, impressive exhibitions, the museum is worth a visit to understand the history and culture of Singapore. Great building and very interesting displays. This was my second visit to the National Museum of Singapore. For anyone interested in the history of Singapore, a visit to the museum is a must. Great history and interesting exhibits.","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)",Singapore,"With a history dating back to its inception in 1887, the National Museum of Singapore is the nation's oldest museum with a progressive mind. Its galleries adopt cutting-edge and multi-perspective ways of presenting history and culture to redefine conventional museum experience. A cultural and architectural landmark in Singapore, the Museum hosts innovative festivals and events all year round-the dynamic Night Festival, visually arresting art installations, as well as amazing performances and film screenings-in addition to presenting thought-provoking exhibitions involving critically important collections of artefacts. The programming is supported by a wide range of facilities and services including F&B, retail and a Resource Centre. The National Museum of Singapore re-opened in December 2006 after a three-year redevelopment, and celebrated its 125th anniversary in 2012. The Museum refreshed its permanent galleries and re-opened them on 19 September 2015 for Singapore's Golden Jubilee.","Speciality Museums, Museums"
20,The Changi Museum,4.5,1961,"1000 Upper Changi Road North, Singapore 507707, Singapore",90,8824.5,"(1.362182, 103.974029)","The story of the war in the Asia/Pacific is not well known enough. The Changi museum and chapel we used the audio guide was informative and interesting. Get to know the history of Singapore at this museum. In saying that, if you're interested in the WWII history and that of the Changi prison, then it's definitely worth a visit. The Changi Museum is well worth a visit.","(570, 1020)","(570, 1020)","(570, 1020)","(570, 1020)","(570, 1020)","(570, 1020)","(570, 1020)",Singapore,This museum honors POWs who endured the Japanese occupation of Singapore in World War II. Their stories are told with an impressive collection of personal artifacts and news coverage. A British internee returned to the museum decades after the war to recreate the murals he’d painted on the walls of the original chapel – a moving insight into how those held prisoner found hope and comfort in any way possible.,"History Museums, Museums"
21,Asian Civilisations Museum,4.5,1841,"1 Empress Place Empress Place Building, Singapore 179555, Singapore",90,8284.5,"(1.2874969, 103.8513861)","Also it is one of the few free places in Singapore. If you're into Asian artifacts, this is the place. If this is your first time to Singapore then you have to see this museum to appreciate the history. The museum overall has some very interesting exhibits. One of the best museums I have ever visited.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The Asian Civilisations Museum is devoted to exploring the rich artistic heritage of Asia, especially the ancestral cultures of Singaporeans. Founded in 1993 and in its present building by the Singapore River since 2003, the museum traces its roots to the Raffles Museum, founded in the middle of the 19th century. ACM focuses on the many historical connections between the cultures of Asia, and between Asia and the world. Singapore’s history as a port city that brought people together from all over the world is used as a means of examining the history of Asia. Special exhibitions bring magnificent objects from around the world to our Singapore audience. Programmes like the annual River Nights encourage visitors to connect more closely with culture and the arts.","History Museums, Museums"
22,River Safari,4,2004,"80 Mandai Lake Road Singapore Zoological Gardens, Singapore 729826, Singapore",90,8016,"(1.4021872, 103.7880606)","Can see a few singapore zoo animals too. If you only have time for one, do the zoo. The river safari is right between the Singapore Zoo and Night Zoo. But the highlight for me was the red pandas and the giant pandas. The boat ride on the river goes for 15mins with nothing to see.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"River Safari is Asia's first and only river-themed wildlife park inspired by the world's most iconic rivers. Witness some of the biggest, most endangered animals from these rivers, in lofty tanks and luscious walk-through exhibits! A must-see are giant pandas Kai Kai and Jia Jia in Southeast Asia's largest giant panda exhibit. Plus the world's largest freshwater aquarium themed after the Flooded Amazon Forest! The River is Calling...",Features Animals
23,Arab Street,4,1941,"48 Arab Street Shophouse the Social Hostel, Singapore 199745, Singapore",90,7764,"(1.300784, 103.8597209)","We always visit Arab Street when in Singapore. You can also go to the mosques in that area. But then again, nothing you might not get elsewhere in Singapore. must visit place when you are in Singapore. Lots of shops and restaurants.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Visitors who enjoy a little bargaining will find it here among the historic shops selling textiles, perfume and more. Along with traditional Muslim food offerings, some Western restaurants have settled into the area, creating a Singaporean blend of cultures. Make sure to stop at the island’s largest mosque, the Sultan Mosque, a landmark in the Kampong Glam Malay Heritage District.","Neighbourhoods, Sights & Landmarks, Other"
24,MacRitchie Nature Trail,4.5,1519,"MacRitchie Reservoir Park, Singapore 298717, Singapore",150,6835.5,"(1.3419705, 103.8348653)","This is one of the few nature trails in Singapore, and if you're up for hiking and nature, or if you just want to get away from the city, you should definitely visit MacRitchie. Like anywhere in Singapore you want to take water. Treetop walk was worth doing but make sure you walk the right way around as it is a one-way only walk across the treetop bridge. Bring lots of water, but don't even THINK about feeding the monkeys. I certainly did - walked the 10km trail.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"A short trip from the city center lies the serenity of MacRitchie Reservoir, part of Singapore’s water catchment system that captures rain water to help supply the island’s growing population. Trails surround the park, which has an upgraded visitor’s center featuring a café, restrooms and information station. The best views are from the TreeTop Walk, a 250-meter suspension bridge across the rainforest canopy, which can be accessed along the seven-kilometer Venus Loop. Wear hiking shoes and bring water.",Features Animals
25,Singapore River,4.5,1473,"Boat, Clarke, Robertson Quays, Singapore, Singapore",90,6628.5,"(1.2859963, 103.8501608)","A great relaxing walk along the Singapore River, with restaurants, bars and shopping. Great for walking or boat tours. SIngapore is great place for walking. There are boat cruises across the river. Following the river further is Boat Quay, Clarke Quay and Robertson Quay.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Bodies of Water, Nature & Parks"
26,Raffles Hotel Arcade,4,1638,"1 Beach Road Raffles Hotel, Singapore 189673, Singapore",90,6552,"(1.2948829, 103.8544791)","Yes the Singapore Slings are expensive, but as long as you go in expecting this, you are more likely to enjoy yourself. Visit the Long Bar for a Singapore Sling. A cool experience with good drinks and great atmosphere. I always visit Raffles Hotel when I stay in Singapore. There are several shops around the hotel and a gift shop.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
27,Lau Pa Sat Festival Pavilion,4,1437,"18 Raffles Quay Telok Ayer Festival Market, Singapore 048582, Singapore",90,5748,"(1.280684, 103.8504436)","So its really more of the place than anything else. You know its good when the local eat there. Many food stalls, you just has to try it yourself. Enjoy, ,,.,7,,,.There were so many foods and it's the place to eat satay. But I didn't know which stall these satay were from.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Historic Sites, Flea & Street Markets, Sights & Landmarks, Shopping"
28,Battlebox,5,993,"2 Cox Terrace | Fort Canning Park, Singapore 179622, Singapore",90,4965,"(1.2941149, 103.8463071)","I would definitely recommend a visit, especially if you're interested in history! The guided tour is very informative as our guide is very knowledgeable. The fall of Singapore to the Japanese in WW2. A very good tour with an excellent tour guide. Tour guide was very informative, goes for about 1 hour, well worth it, very interesting on how the British surrendered Singapore to the Japanese in 1945.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"A former underground command centre in Fort Canning Hill, the Battlebox was part of the Malaya Command Headquarters during World War II. It was here that Lt-Gen Percival made the fateful decision to surrender Singapore to the Japanese on 15 February 1942. Journey back in time to 1942 and discover the true causes of the Fall of Singapore and learn how an underground command centre functioned during the war.","Military Museums, Museums"
29,Peranakan Museum,4.5,1089,"39 Armenian Street, Singapore 179941, Singapore",90,4900.5,"(1.294362, 103.8490256)","The exhibits and displays are beautiful and well-designed. I learned so much about the Peranakan culture and Singapore. The Peranakan Museum does that. The building itself is just beautiful, and houses displays of the Peranakan people's culture, art, and every day life objects. If you want to know Singapore must visit this Museum.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The Peranakan Museum explores the culture of Peranakan communities in Southeast Asia. Installed in the former Tao Nan Chinese School, built in 1912, this intimate museum possesses one of the finest and most comprehensive collections of Peranakan objects. Galleries on three floors illustrate the cultural traditions and the distinctive visual arts of the Peranakans. The Peranakan Museum provides a stimulating and educational experience for all, while representing the living culture of the Peranakan community in the region. The museum is a component of the Asian Civilisations Museum, operating under the National Heritage Board.","Speciality Museums, Museums"
31,East Coast Park,4.5,1006,"Along East Coast Parkway and East Coast Park Service Road, Singapore 455486, Singapore",150,4527,"(1.3007842, 103.9121866)","Good place to cycle and enjoy the beach. It's ok for a walk every once in a while, but this is Singapore, so there are no beaches. A great day out and a great place to relax. Lots of people will be enjoying their time during weekends. And East Coast Park is not one of them.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The city’s most popular stretch of beach always buzzes with activity – even when it’s not playing host to the wide spectrum of sporting events that grace its shores regularly, like the Singapore Marathon and Xtreme Championship.","Beaches, Nature & Parks, Outdoor Activities"
32,ArtScience Museum at Marina Bay Sands,4,1125,"10 Bayfront Avenue Marina Bay Sands, Singapore 018956, Singapore",90,4500,"(1.2845442, 103.8595898)","It was one of our best days out while in Singapore and this is a place not to miss if you have kids under 14 years of age. The Building is great,  the Design very good ! The future world exhibit was good and very interactive. The museum is an exhibition in itself. We visited two exhibitions in the museum.","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)",Singapore,"The ArtScience Museum at Marina Bay Sands is Singapore’s premier destination for major international touring exhibitions.Get transported back to the Precambrian, Triassic, Jurassic and Cretaceous prehistoric periods in the first exhibition of its kind, and relive the dinosaurs' natural environment as you uncover how the different species lived on earth. With hundreds of remarkable fossils and specimens, and original vivid illustrations reconstructing appearances of the extinct species, gain deeper insight into the rich and fascinating world of dinosaurs through the collaborative efforts of skilled artists and scientists.","Speciality Museums, Museums"
33,Kranji War Memorial,4.5,860,"9 Woodlands Road, Singapore 738656, Singapore",90,3870,"(1.419029, 103.757487)","This is a must do when in Singapore. This was my third visit to the memorial. Didn't know this memorial was here but a peaceful place to visit. Kranji War Memorial perhaps is not on everyone's list of places to visit when it comes to Singapore. About a 15 minute walk from the Kranji MRT, but worth the time.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Location Information The Commonwealth War Graves Commission's Kranji War Cemetery is 22 kilometres north of the city of Singapore, on the north side of Singapore Island overlooking the Straits of Johore. It is located just to the West of the Singapore-Johore road (Bukit Timah Expressway) on Woodlands Road, just to the south of the crossroads with Turf Club Avenue and Kranji Road. There is a short approach road from the main road. The Cemetery is known locally as Kranji Memorial and one must be sure of the address before boarding a taxi as most taxi drivers do not know the Cemetery. There are also bus stops on the main road facing the Cemetery. The Kranji MRT (train) terminal is a short distance from the Cemetery, approximately 10 to 15 minutes away by foot. A previous visitor has advised us that a small map of the route can be obtained from the MRT ticket office. Visiting Information Kranji War Cemetery is open every day 07:00-18:30. The cemetery is constructed on a hill with the means of access being via three flights of steps, rising over four metres from the road level, which makes wheelchair access to this site impossible.","Cemeteries, Sights & Landmarks"
34,The Southern Ridges,4.5,847,"Alexandra Road | Mount Faber Park; Telok Blangah Hill Park; or Kent Ridge Park, Singapore 099203, Singapore",90,3811.5,"(1.2801016, 103.8029949)","We started the walk at Kent Ridge Park. Singapore's best views along the waY. I walked from start to the end of it, which is to be the Henderson Bridge (wave-like bridge). Nice walk with some good views across the city. to Hort Park.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Bridging the hills of Mount Faber Park, Telok Blangah Hill Park and Kent Ridge Park, the Southern Ridges combine invigorating exercise with spectacular views across Singapore.","Scenic Walking Areas, Hiking Trails, Sights & Landmarks, Nature & Parks, Outdoor Activities"
35,National Gallery Singapore,4.5,789,"1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957, Singapore",150,3550.5,"(1.289704, 103.851285)","One of the best exhibitions I have seen. This new Singapore National Gallery is really well done. If there is one place to see in Singapore, this is it!. A must see for the buildings' history and architecture as the former Supreme Court and City Hall and their use as an art gallery within. Where is the art in the gallery?","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1140)","(600, 1260)","(600, 1140)",Singapore,"Opened in November 2015, National Gallery Singapore is a brand new visual arts museum that engages, excites and inspires with the art of Singapore, Southeast Asia and the world. The Gallery will contribute to Singapore's ambition to become a global city for the arts. Located in the heart of the Civic District, two monumental buildings-the City Hall and the former Supreme Court-have been refurbished and will be reborn as National Gallery Singapore. At 64,000 square metres, we will not only be the largest visual arts venue in Singapore but also one of the largest in the region. The Gallery will focus on displaying Singapore and Southeast Asian art from the 19th century to the present day. Through a comprehensive collection, the Gallery will present the development of Singapore and regional cultures to tell their social, economic and political histories.","Art Museums, Children's Museums, Museums"
